approxkl,time_elapsed,serial_timesteps,ep_reward_mean,explained_variance,total_timesteps,fps,policy_loss,policy_entropy,value_loss,clipfrac,n_updates,ep_len_mean
2.0081598e-07,61.56098008155823,161792,709.0375,0.5806151926517487,161792,2327,-0.00012632186,2.994637,3.920554,0.0,79,1999.0
6.017571e-07,62.44136309623718,163840,709.3333333333334,0.6112909913063049,163840,2507,-0.000113333735,2.9946113,3.4293602,0.0,80,1999.0
1.9390409e-07,63.26384496688843,165888,709.4634146341464,0.6274580657482147,165888,2660,-0.00014157908,2.9945884,3.7680779,0.0,81,1999.0
4.5902726e-07,64.03401398658752,167936,709.9880952380952,0.6955660879611969,167936,2623,-0.00011880209,2.994602,3.9943511,0.0,82,1999.0
1.9937595e-07,64.81492710113525,169984,710.4235294117647,0.6439590156078339,169984,2673,-0.00015091294,2.9946218,3.4947197,0.0,83,1999.0
1.1133463e-06,65.5814139842987,172032,710.2209302325581,0.6320275962352753,172032,2670,-0.00018520416,2.9946294,2.9020293,0.0,84,1999.0
3.6955717e-07,66.34893107414246,174080,710.471264367816,0.6636046469211578,174080,2674,-0.00015327535,2.9946265,3.364635,0.0,85,1999.0
1.0646594e-06,67.12018585205078,176128,710.4204545454545,0.6801965534687042,176128,2654,-0.00017201879,2.9946017,2.7603078,0.0,86,1999.0
3.9827427e-07,67.89211297035217,178176,710.2359550561798,0.6758366227149963,178176,2422,-0.00017618891,2.9945679,2.3009207,0.0,87,1999.0
1.0168063e-06,68.73782706260681,180224,710.0111111111111,0.6655031144618988,180224,2303,-0.00018434082,2.9945705,3.3229651,0.0,88,1999.0
3.8362168e-07,69.62724208831787,182272,710.1538461538462,0.7056984603404999,182272,2658,-0.00016829823,2.9945812,2.6422374,0.0,89,1999.0
2.4076255e-07,70.39810299873352,184320,710.2826086956521,0.7488481998443604,184320,2668,-0.00013438119,2.9945655,2.7941763,0.0,90,1999.0
1.2478137e-06,71.17177104949951,186368,710.4193548387096,0.738086462020874,186368,2649,-0.00023184349,2.9945447,2.4081006,0.0,91,1999.0
4.1842927e-07,71.94521188735962,188416,710.1382978723404,0.7539093345403671,188416,2659,-0.00016076436,2.9945219,2.1370988,0.0,92,1999.0
1.0497808e-06,72.71577000617981,190464,710.0421052631579,0.7292928993701935,190464,2658,-0.00013865056,2.9945128,2.8254342,0.0,93,1999.0
1.7616743e-06,73.48659420013428,192512,710.15625,0.7379814088344574,192512,2662,-0.00025160942,2.994514,2.1109304,0.0,94,1999.0
8.6540996e-07,74.25619888305664,194560,709.8659793814433,0.7520628720521927,194560,2689,-0.00025663743,2.9945104,2.1038744,0.0,95,1999.0
2.2989711e-06,75.023362159729,196608,709.3877551020408,0.7596695870161057,196608,2644,-0.00021183204,2.9944568,2.3136544,0.0,96,1999.0
8.1598745e-07,75.79822492599487,198656,709.7979797979798,0.7961134761571884,198656,2647,-0.0002615159,2.9944127,2.1026704,0.0,97,1999.0
7.236214e-07,76.57221722602844,200704,709.73,0.8122169673442841,200704,2660,-0.00023076194,2.994371,1.7945875,0.0,98,1999.0
7.449195e-07,77.34252595901489,202752,709.47,0.799810603260994,202752,2662,-0.0002640476,2.9943461,1.8792839,0.0,99,1999.0
1.344484e-06,78.11223101615906,204800,709.39,0.7956214100122452,204800,2647,-0.0002372531,2.9943619,1.8419365,0.0,100,1999.0
7.707821e-07,78.89138603210449,206848,709.57,0.8269990235567093,206848,2654,-0.00021629797,2.9943652,2.1566586,0.0,101,1999.0
5.6386864e-07,79.66346025466919,208896,709.94,0.7992947697639465,208896,2663,-0.0002228294,2.994376,2.357275,0.0,102,1999.0
6.7817416e-07,80.43295907974243,210944,710.13,0.8030380606651306,210944,2653,-0.00024500088,2.9943986,2.20925,0.0,103,1999.0
7.6141566e-07,81.20517206192017,212992,710.1,0.8019548505544662,212992,2664,-0.00023172455,2.9944208,2.5425944,0.0,104,1999.0
7.1082746e-07,81.97429990768433,215040,709.88,0.8238489925861359,215040,2664,-0.0002613179,2.9944406,2.0272279,0.0,105,1999.0
7.6855724e-07,82.7485179901123,217088,709.71,0.837944746017456,217088,2627,-0.0002553009,2.9944475,2.0015244,0.0,106,1999.0
6.8984673e-07,83.52845001220703,219136,709.92,0.8608449548482895,219136,2648,-0.0002400673,2.9944363,1.8256782,0.0,107,1999.0
7.461152e-07,84.30228614807129,221184,709.97,0.8682008534669876,221184,2647,-0.00031743123,2.9944255,1.4324328,0.0,108,1999.0
1.6192334e-06,85.07636213302612,223232,709.97,0.8597722947597504,223232,2681,-0.00043093748,2.9944232,1.4233922,0.0,109,1999.0
