fps,policy_loss,policy_entropy,total_timesteps,time_elapsed,explained_variance,approxkl,value_loss,clipfrac,serial_timesteps,n_updates,ep_reward_mean,ep_len_mean
2379,-0.00016646032,2.9947023,251904,107.85861086845398,0.037402987480163574,1.4729371e-06,5.9523683,0.0,251904,123,4599.68,9999.0
2380,-0.00010633525,2.99474,253952,108.71977376937866,0.017339468002319336,2.921876e-07,3.4465747,0.0,253952,124,4599.68,9999.0
2393,-6.928753e-05,2.9950128,256000,109.58030581474304,0.007977068424224854,1.03096895e-07,4.498481,0.0,256000,125,4599.68,9999.0
2383,-0.00010630868,2.9945674,258048,110.44192361831665,0.010425209999084473,1.6237315e-07,3.9958313,0.0,258048,126,4599.68,9999.0
2377,-9.383104e-05,2.9945474,260096,111.3015148639679,0.055344462394714355,1.8044324e-07,6.055567,0.0,260096,127,4599.653846153846,9999.0
2373,-0.00011932578,2.9947429,262144,112.16343975067139,0.010599076747894287,2.2608624e-07,3.190247,0.0,262144,128,4599.653846153846,9999.0
2367,-0.00011886654,2.99482,264192,113.026695728302,0.015362977981567383,1.9087327e-07,2.6758447,0.0,264192,129,4599.653846153846,9999.0
2380,-7.7435536e-05,2.9949746,266240,113.89226174354553,0.00673598051071167,1.343265e-07,3.7479177,0.0,266240,130,4599.653846153846,9999.0
2330,-8.348962e-05,2.9945712,268288,114.75840473175049,0.00796365737915039,1.0963352e-07,4.6587796,0.0,268288,131,4599.653846153846,9999.0
2388,-0.00010851957,2.9945672,270336,115.6375470161438,0.04731935262680054,1.3587253e-07,6.0359087,0.0,270336,132,4601.666666666667,9999.0
2371,-7.745399e-05,2.9948068,272384,116.49552893638611,0.008218586444854736,1.0353701e-07,4.380304,0.0,272384,133,4601.666666666667,9999.0
2379,-0.00012367792,2.9948945,274432,117.35931897163391,0.012108862400054932,1.5912617e-07,3.7634883,0.0,274432,134,4601.666666666667,9999.0
2381,-0.00013892562,2.9948933,276480,118.22044777870178,0.013578057289123535,3.0625338e-07,3.2291298,0.0,276480,135,4601.666666666667,9999.0
2364,-9.70901e-05,2.9944685,278528,119.0865957736969,0.0172385573387146,2.5612118e-07,3.906318,0.0,278528,136,4601.666666666667,9999.0
2365,-0.00022774236,2.9945214,280576,119.95295190811157,0.04530090093612671,5.9047613e-07,4.510713,0.0,280576,137,4603.678571428572,9999.0
2379,-0.00010371078,2.994695,282624,120.81899380683899,0.005193054676055908,5.227733e-07,4.4935994,0.0,282624,138,4603.678571428572,9999.0
2365,-0.00014624702,2.9948952,284672,121.68016266822815,0.009877264499664307,2.4229476e-07,2.7676396,0.0,284672,139,4603.678571428572,9999.0
2388,-0.000133177,2.9948153,286720,122.54615378379822,0.01410764455795288,2.6501658e-07,2.7521477,0.0,286720,140,4603.678571428572,9999.0
2364,-0.00010064866,2.9944375,288768,123.40998601913452,0.007408082485198975,1.7511957e-07,3.5229793,0.0,288768,141,4603.678571428572,9999.0
2369,-0.00037204326,2.994656,290816,124.27659487724304,0.04113048315048218,1.4395889e-06,4.673092,0.0,290816,142,4606.172413793103,9999.0
2382,-0.00010564758,2.994599,292864,125.14128875732422,0.007653594017028809,8.6746104e-07,3.1408715,0.0,292864,143,4606.172413793103,9999.0
2376,-0.00013857352,2.9949303,294912,126.00133395195007,0.013843953609466553,3.1443832e-07,2.7429535,0.0,294912,144,4606.172413793103,9999.0
2374,-0.00011933484,2.9947953,296960,126.86347794532776,0.015121996402740479,2.5000358e-07,2.6728404,0.0,296960,145,4606.172413793103,9999.0
2361,-0.00021113665,2.994426,299008,127.7320659160614,0.011693120002746582,5.556288e-07,2.3758807,0.0,299008,146,4606.172413793103,9999.0
2373,-0.0004352412,2.9947603,301056,128.59969997406006,0.07631957530975342,2.4750625e-06,3.9108977,0.0,301056,147,4604.633333333333,9999.0
2373,-0.00012222608,2.9945946,303104,129.46303367614746,0.017673790454864502,1.5293135e-06,3.4856267,0.0,303104,148,4604.633333333333,9999.0
2377,-0.00017479104,2.9949925,305152,130.32632184028625,0.01505345106124878,4.004653e-07,2.752854,0.0,305152,149,4604.633333333333,9999.0
2364,-0.00017745813,2.994886,307200,131.1882197856903,0.008574068546295166,3.9301102e-07,2.2012408,0.0,307200,150,4604.633333333333,9999.0
2359,-0.00014513588,2.9946308,309248,132.06033372879028,0.011275768280029297,4.6939567e-07,2.8739493,0.0,309248,151,4604.633333333333,9999.0
2384,-0.0004689815,2.9949353,311296,132.92871069908142,0.10699784755706787,2.2505549e-06,3.9794412,0.0,311296,152,4606.677419354839,9999.0
2374,-0.00016050476,2.9946573,313344,133.78808784484863,0.012548327445983887,1.4243099e-06,3.024763,0.0,313344,153,4606.677419354839,9999.0
2363,-0.00019065975,2.995018,315392,134.65088987350464,0.006689548492431641,6.70282e-07,2.594252,0.0,315392,154,4606.677419354839,9999.0
2315,-0.0001678594,2.9948242,317440,135.5176658630371,0.017842769622802734,5.086291e-07,2.5034215,0.0,317440,155,4606.677419354839,9999.0
2374,-0.00020689335,2.9946225,319488,136.40815782546997,0.02235180139541626,5.966729e-07,2.2818112,0.0,319488,156,4606.677419354839,9999.0
2368,-0.0006709824,2.994808,321536,137.27112770080566,0.13145333528518677,5.7711695e-06,4.5150175,0.0,321536,157,4607.34375,9999.0
2387,-0.0002600817,2.994494,323584,138.136332988739,0.017548203468322754,4.3735054e-06,3.0992966,0.0,323584,158,4607.34375,9999.0
2384,-0.00017791188,2.994906,325632,138.99468064308167,0.011788487434387207,1.1234555e-06,1.7406075,0.0,325632,159,4607.34375,9999.0
2372,-0.0002833969,2.9946003,327680,139.85411095619202,0.011277258396148682,9.692454e-07,1.8015287,0.0,327680,160,4607.34375,9999.0
2376,-0.0002673072,2.994581,329728,140.72379779815674,0.08027923107147217,1.2539979e-06,1.6029867,0.0,329728,161,4607.34375,9999.0
2384,-0.00048463652,2.9946027,331776,141.58605980873108,0.19581282138824463,2.4155102e-06,4.785649,0.0,331776,162,4606.575757575758,9999.0
2354,-0.0004127437,2.9943652,333824,142.4454746246338,0.016284167766571045,4.302413e-06,2.4967256,0.0,333824,163,4606.575757575758,9999.0
2378,-0.00021037266,2.9947188,335872,143.3155927658081,0.024679720401763916,1.6797228e-06,1.6348021,0.0,335872,164,4606.575757575758,9999.0
2384,-0.00029627522,2.9943633,337920,144.17697191238403,0.020211398601531982,1.2393095e-06,2.0570874,0.0,337920,165,4606.575757575758,9999.0
2365,-0.00028315588,2.994524,339968,145.04228496551514,0.31998735666275024,2.0049313e-06,4.148996,0.0,339968,166,4606.470588235294,9999.0
2359,-0.0005754405,2.9945314,342016,145.90854597091675,0.036632657051086426,3.6870576e-06,2.7381997,0.0,342016,167,4606.470588235294,9999.0
2370,-0.000564364,2.9942596,344064,146.7767207622528,0.02099752426147461,7.386413e-06,1.5259546,0.0,344064,168,4606.470588235294,9999.0
2382,-0.000279459,2.9946864,346112,147.64127206802368,0.029183030128479004,2.854369e-06,1.681495,0.0,346112,169,4606.470588235294,9999.0
2393,-0.00034708917,2.9942594,348160,148.50139594078064,0.016601920127868652,2.220062e-06,1.7643309,0.0,348160,170,4606.470588235294,9999.0
2361,-0.00041838115,2.9944918,350208,149.362854719162,0.33881300687789917,3.2227726e-06,4.8123693,0.0,350208,171,4608.428571428572,9999.0
2379,-0.00056153117,2.9942863,352256,150.23042678833008,0.05565065145492554,3.8405424e-06,1.7737201,0.0,352256,172,4608.428571428572,9999.0
2371,-0.00067004643,2.9939117,354304,151.09132885932922,0.03286200761795044,8.079407e-06,1.5460875,0.0,354304,173,4608.428571428572,9999.0
2355,-0.0005634334,2.9944758,356352,151.95529961585999,0.022759974002838135,7.2404787e-06,1.7213014,0.0,356352,174,4608.428571428572,9999.0
2380,-0.0006134129,2.9934113,358400,152.82505702972412,0.02687966823577881,8.8416855e-06,1.6518881,0.0,358400,175,4608.428571428572,9999.0
2369,-0.0006524438,2.9937189,360448,153.6913447380066,0.4300053119659424,9.7783e-06,4.0826025,0.0,360448,176,4607.083333333333,9999.0
2373,-0.0007057736,2.9935176,362496,154.55600690841675,0.06333094835281372,1.9559104e-05,1.7878177,0.0,362496,177,4607.083333333333,9999.0
2373,-0.0025001515,2.9929771,364544,155.41914176940918,0.04553705453872681,7.4157804e-05,1.1305354,0.0,364544,178,4607.083333333333,9999.0
